,stopid,stopname,geometry
641,305460.0,Vermont & Vernon Ave.,POINT (-118.29160809500007 34.003853166000084)
703,305652.0,Vermont & Vernon Ave.,POINT (-118.29146862000012 34.00397768500009)
1265,305652.0,Vermont & Vernon Ave.,POINT (-118.29146862000012 34.00397768500009)
1306,306010.0,Figueroa & MLK Jr. Blvd. (Counter-clockwise),POINT (-118.28263342400008 34.010872627000055)
593,305246.0,MLK & Broadway,POINT (-118.27867046000006 34.0110215930001)
590,305223.0,MLK & Broadway,POINT (-118.27812999500009 34.011166111000115)
1310,305931.0,Figueroa & MLK Jr. Blvd. (Clockwise),POINT (-118.28276753400007 34.01132619300009)
1228,305931.0,Figueroa & MLK Jr. Blvd. (Clockwise),POINT (-118.28276753400007 34.01132619300009)
592,377763.0,39th & Grand (eastbound),POINT (-118.28011483000007 34.01349949500011)
1307,306011.0,Figueroa & 39th St. (CCW),POINT (-118.2826736570001 34.013789635000116)
1225,306011.0,Figueroa & 39th St. (CCW),POINT (-118.2826736570001 34.013789635000116)
1309,305930.0,Figueroa & 39th St. (CW),POINT (-118.28285336500012 34.013827431000074)
1227,305930.0,Figueroa & 39th St. (CW),POINT (-118.28285336500012 34.013827431000074)
591,377772.0,Grand & 39th,POINT (-118.28010141800007 34.013871897000094)
560,297778.0,37th St. & Grand (Eastbound),POINT (-118.27801466000005 34.016668748000065)
624,305441.0,37th & Grand Ave.,POINT (-118.27810049100009 34.016755453000066)
1308,298787.0,37th St. & Grand (Westbound),POINT (-118.27847063500008 34.016953319000066)
1226,298787.0,37th St. & Grand (Westbound),POINT (-118.27847063500008 34.016953319000066)
623,305431.0,Hill & 35th St.,POINT (-118.27580720200008 34.018325028000085)
561,305194.0,Hill & 35th St,POINT (-118.27561140100012 34.01840728500005)
622,305422.0,Jefferson & Grand,POINT (-118.27584743500006 34.02001684500007)
562,305195.0,Grand & Jefferson Blvd.,POINT (-118.27603250700008 34.02048370000009)
617,305393.0,Adams & Figueroa St.,POINT (-118.2754182820001 34.027819665000074)
1535,356985.0,Mona Blvd & 113th St (Southbound),POINT (-118.23082655700006 33.93204216400008)
1544,357084.0,Mona Blvd & 113th St (Northbound),POINT (-118.23065355400009 33.93238710500007)
1534,356979.0,Mona Blvd & Santa Ana Blvd (Southbound),POINT (-118.23029279700005 33.9338180390001)
1545,357090.0,Mona Blvd & Santa Ana Blvd (Northbound),POINT (-118.23021233100008 33.93384696900009)
1546,357111.0,Weignand Ave & 108th St (Northbound),POINT (-118.23018014400009 33.93691349000009)
1533,356958.0,Gorman Ave & 108th St (Southbound),POINT (-118.23116183300009 33.937309593000094)
1532,356953.0,Gorman Ave & 107th St (Southbound),POINT (-118.23074609000008 33.9386291810001)
1547,357120.0,Weignand Ave & 107th St (Northbound),POINT (-118.22962090400006 33.93879607500006)
1548,357129.0,Weignand Ave & 105th St (Northbound),POINT (-118.22960749300006 33.94058627200011)
1531,356944.0,Gorman Ave & 105th St (Southbound),POINT (-118.23069244600009 33.940709771000094)
1517,356833.0,Wilmington Ave & Century Blvd (Southbound),POINT (-118.23904350400011 33.94579309500009)
1562,357232.0,Wilmington Ave & Century Blvd (Northbound),POINT (-118.23894292100012 33.9459210370001)
1563,357242.0,Wilmington Ave & 97th St (Northbound),POINT (-118.23894426200009 33.948089337000084)
1516,356821.0,97th St & Wilmington Ave (Westbound),POINT (-118.23883429200009 33.948219500000086)
1515,356809.0,Wilmington Ave & 95th St (Southbound),POINT (-118.23861435100008 33.95062692300011)
1564,357257.0,Wilmington Ave & 95th St (Northbound),POINT (-118.23850035700006 33.950715921000075)
1514,356793.0,92nd St & Bandera St (Eastbound),POINT (-118.23981061600006 33.95318445700011)
46,434367.0,Indiana Gold Line Station (Southbound),POINT (-118.1924253700001 34.035003850000095)
69,354812.0,Blanchard St & Fresno St (Westbound),POINT (-118.19312542700011 34.04639015900009)
36,354516.0,Blanchard St & Fresno St (Eastbound),POINT (-118.19340840000007 34.046410160000086)
70,354823.0,Blanchard St & Blades St (Westbound),POINT (-118.19610402000006 34.047700275000096)
35,354507.0,Blanchard St & Blades St (Eastbound),POINT (-118.19636285300008 34.04771138700008)
34,354504.0,Blanchard St & Evergreen Ave (Eastbound),POINT (-118.19717824500009 34.048066971000054)
71,354829.0,Evergreen Ave & Blanchard St (Northbound),POINT (-118.19721713700005 34.04848033500011)
33,354490.0,Wabash Ave & Evergreen Ave (Eastbound),POINT (-118.1966042520001 34.049833755000094)
72,354840.0,Wabash Ave & Evergreen Ave (Westbound),POINT (-118.1968617440001 34.05006599000009)
32,354484.0,Wabash Ave & Forest Ave (Eastbound),POINT (-118.19814786300009 34.05048378900009)
73,354845.0,Wabash Ave & Forest Ave (Westbound),POINT (-118.1982082130001 34.0506504630001)
31,354478.0,Wabash Ave & Mott St (Eastbound),POINT (-118.20024400900006 34.051398272000064)
74,438534.0,Wabash Ave & Dobinson St (Westbound),POINT (-118.20020377600008 34.05147271900009)
30,354470.0,Wasbash Ave & Soto St (Eastbound),POINT (-118.20343986200008 34.05277164600008)
75,354863.0,Soto St & Wabash Ave (Northbound),POINT (-118.20356324300008 34.05323387700006)
76,354876.0,Marengo St & Soto St (Westbound),POINT (-118.2034116980001 34.054983887000084)
29,354455.0,Marengo St & Cornwell St (Eastbound),POINT (-118.20486679700008 34.05539166100007)
77,354880.0,Marengo St & Cornwell St (Westbound),POINT (-118.20483863400005 34.055606104000084)
28,354449.0,Marengo St & Chicago St (Eastbound),POINT (-118.20671752100009 34.056224983000085)
27,354441.0,Marengo St & State St (Eastbound),POINT (-118.20984900000008 34.05759494500009)
